SD NO.,SD_Name,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JAN-FEB,Mar-May,Jun-Sep,Oct-Dec
7,ORISSA,1964,1.7,28.3,11.9,33.2,48.8,142.5,372.4,427.9,195.5,84.1,8.2,0,1354.5,30,93.9,1138.3,92.3
8,JHARKHAND,1964,2.2,12.1,4.7,18.8,53.7,200.6,306.8,262.2,214.7,71.6,3.9,0,1151.3,14.3,77.2,984.3,75.5
9,BIHAR ,1964,1.4,3.3,2.4,21.9,59.3,134.7,453.6,157.7,219,66.3,2.7,0,1122.3,4.7,83.6,965,69
10,EAST UTTAR PRADESH,1964,1.6,6.6,0.2,3.7,43.4,82.9,398.7,179.9,292.2,18.3,0.8,8.5,1036.8,8.2,47.3,953.7,27.6
11,WEST UTTAR PRADESH,1964,2.3,0.8,1.9,0.6,20,39,414.5,246.3,259.6,1.6,0.2,11.4,998.2,3.1,22.5,959.4,13.2
12,UTTARANCHAL,1964,89.7,72.4,74.8,48.3,95,161.5,461.4,400.7,326.1,1.3,0,31.1,1762.3,162.1,218.1,1349.7,32.4
13,"HARYANA, DELHI & CHANDIGARH",1964,4.5,1.5,0.9,0.4,14.4,8.4,373.4,192.8,116.4,0.6,0.1,5.6,719,6,15.7,691,6.3
14,PUNJAB ,1964,11,5.7,3.9,5.2,19.2,10.2,359.3,189.8,95,0,0,9.6,708.9,16.7,28.3,654.3,9.6
15,HIMACHAL PRADESH,1964,176.6,58.8,83.6,97.7,86.8,86.2,278.9,246.8,197.1,0.1,1.8,39.6,1354,235.4,268.1,809,41.5
16,JAMMU & KASHMIR,1964,170.5,60.9,99.8,132.4,43.9,100.4,164.4,93.8,63.7,1.1,4.9,69.4,1005.2,231.4,276.1,422.3,75.4
17,WEST RAJASTHAN ,1964,0.6,0.3,0.5,0.4,13.7,25.4,138.9,140.5,16.4,0.1,0,0.6,337.4,0.9,14.6,321.2,0.7
18,EAST  RAJASTHAN ,1964,0,0,0,0.1,30,40.7,211.4,292.4,70.9,0.1,0,1,646.6,0,30.1,615.4,1.1
19,WEST MADHYA PRADESH,1964,0,0,2.2,0,7.7,111.7,278.8,312.2,163.3,2.8,0,1.2,879.9,0,9.9,866,4
20,EAST MADHYA PRADESH,1964,0.2,8.1,2.2,1.3,2.5,131.5,360.1,433,226,21.3,0.9,0.2,1187.3,8.3,6,1150.6,22.4
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1964,0.1,0,0,0,4.5,103.5,372.1,297,115.4,0.4,0.1,0,893.1,0.1,4.5,888,0.5
22,SAURASHTRA KUTCH & DIU,1964,0.2,0,0,0,1.6,108.5,170.6,195.5,81.8,0.1,0,0,558.3,0.2,1.6,556.4,0.1
23,KOKAN & GOA,1964,0,0,0,0.9,6.1,682.1,936.2,1059.4,386.1,160.3,23.9,0.4,3255.4,0,7,3063.8,184.6
24,MADHYA MAHARASHTRA,1964,0,0,4.1,6.2,7,139.8,238.9,242.3,223.1,60,23.3,0.9,945.6,0,17.3,844.1,84.2
25,MARATWADA ,1964,0,0.2,5.1,1.5,1.3,120.3,246.5,150.7,219.9,20.1,15,0,780.6,0.2,7.9,737.4,35.1
26,VIDARBHA,1964,0,2,3,1.3,0.6,166,259.5,357.9,176.8,40.8,2.3,0.6,1010.8,2,4.9,960.2,43.7
27,CHATTISGARH,1964,1.2,22.7,3.5,7,5.4,267.8,372,512,213.7,108.1,6.6,0,1520,23.9,15.9,1365.5,114.7
28,COSTAL ANDHRA PRADESH,1964,0.4,4.2,0.8,5.3,25.1,94,154.8,188,305.8,76,116.9,7.3,978.6,4.6,31.2,742.6,200.2
29,TELENGANA,1964,0.1,0.7,2.6,2.7,2.8,112.5,172.8,201.8,344.2,59.4,7.5,0,907.1,0.8,8.1,831.3,66.9
30,RAYALSEEMA,1964,0,0,0,3.1,10.4,59.4,188.4,73.1,234.7,48.7,90.9,8.5,717.2,0,13.5,555.6,148.1
31,TAMIL NADU & PONDICHERRY,1964,1.6,1.2,15.5,11.4,56.8,31.3,174.7,100.8,92.3,187.7,166.4,70.9,910.6,2.8,83.7,399.1,425
32,COASTAL KARNATAKA,1964,0,0,2.6,5.8,23.4,631.7,864,978.1,363.9,200.2,53.1,17.6,3140.4,0,31.8,2837.7,270.9
33,NORTH INTERIOR KARNATAKA,1964,0,0.8,4.3,16.9,14.6,97.6,211.7,129.2,289.1,110.8,22.4,2.4,899.8,0.8,35.8,727.6,135.6
34,SOUTH INTERIOR KARNATAKA,1964,0,0.1,0.7,23.5,50.9,121.7,280.6,305.5,182.1,121.9,78.8,3.8,1169.6,0.1,75.1,889.9,204.5
35,KERALA,1964,1.1,7.8,67.2,83.3,94.8,379.4,754.2,548,398.2,325.7,191.7,17.8,2869.2,8.9,245.3,2079.8,535.2
36,LAKSHADWEEP ,1964,2.5,3.5,5.2,40.4,64.2,376.1,407,174.6,342.5,120.9,90.8,24,1651.7,6,109.8,1300.2,235.7
1,ANDAMAN & NICOBAR ISLANDS,1965,11.8,30.4,25.3,51,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.9,42.2,368.6,1774.3,978.8
2,ARUNACHAL PRADESH,1965,37.4,120.7,103.7,254.4,306.9,404.7,315.8,351.3,172.9,51.5,72.6,4.9,2196.8,158.1,665,1244.7,129
3,ASSAM & MEGHALAYA,1965,4.5,70,53.1,159.9,351.1,551.2,453.3,483.8,314.9,89.1,61.7,12.2,2604.8,74.5,564.1,1803.2,163
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1965,1.9,61.5,35.9,59.4,169.5,520.5,373.4,323,262.2,164.1,22.6,37,2031,63.4,264.8,1479.1,223.7
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1965,0.2,22,48.2,69.5,232.4,444.6,697.6,830.2,345.7,39.5,32.7,0.2,2762.8,22.2,350.1,2318.1,72.4
6,GANGETIC WEST BENGAL,1965,0.3,33.9,46.5,32.8,45.3,227.6,289.6,287,220.3,80.1,0.3,0.2,1263.9,34.2,124.6,1024.5,80.6
7,ORISSA,1965,10.6,17.3,59.1,37.9,37.6,123.1,392.9,187.3,222.9,83.9,1,1,1174.6,27.9,134.6,926.2,85.9
8,JHARKHAND,1965,0.8,8.7,26.7,31.4,14.9,113,354.8,216.1,206.2,39.3,0.3,0.9,1013.1,9.5,73,890.1,40.5
9,BIHAR ,1965,0.4,1.2,15.7,7.1,7.7,98.8,302.2,328.3,215,22.2,1.8,2.4,1002.8,1.6,30.5,944.3,26.4
10,EAST UTTAR PRADESH,1965,2.1,0.7,9.9,19.3,2.7,21.4,204.5,213.6,161.7,47.9,0.5,1.2,685.5,2.8,31.9,601.2,49.6
11,WEST UTTAR PRADESH,1965,8.1,10.3,10.5,21.1,10.6,3.7,215.3,227.6,148.2,25.2,0,0.7,681.3,18.4,42.2,594.8,25.9
12,UTTARANCHAL,1965,44.5,159.2,119,62,44.1,49.9,387.4,300.8,87.3,32.9,11.7,2.9,1301.7,203.7,225.1,825.4,47.5
13,"HARYANA, DELHI & CHANDIGARH",1965,5.7,11.2,7.3,8.4,19.7,2.1,121.1,132.6,61.3,9.9,0.1,0.2,379.6,16.9,35.4,317.1,10.2
14,PUNJAB ,1965,13.1,23.9,15.3,21.3,34.3,1.6,192.6,91.6,14.2,10.4,4.5,0.5,423.3,37,70.9,300,15.4
15,HIMACHAL PRADESH,1965,52.5,209.1,170.9,126.6,143.9,24.9,278.3,117.3,39.9,25.8,12.8,18.3,1220.3,261.6,441.4,460.4,56.9
16,JAMMU & KASHMIR,1965,75.4,171.7,107.2,199.1,165.2,33,85.9,55.2,14.5,28.5,43.7,31.2,1010.6,247.1,471.5,188.6,103.4
17,WEST RAJASTHAN ,1965,3.6,1.3,3.2,2.7,7.1,6,128,52,7.8,3.4,0.1,0,215.2,4.9,13,193.8,3.5
18,EAST  RAJASTHAN ,1965,4.6,4.3,1.9,3.2,3.3,7.1,199.3,106.1,82.1,8,0,0,419.9,8.9,8.4,394.6,8
19,WEST MADHYA PRADESH,1965,4.8,0.7,1.6,2,0.6,31.1,270.8,142.5,124,5.9,1,9.6,594.6,5.5,4.2,568.4,16.5
20,EAST MADHYA PRADESH,1965,4.6,0.9,15.3,12.5,0.6,68.5,205.9,185,184.2,11.2,0.1,9.1,697.9,5.5,28.4,643.6,20.4
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1965,7.1,0,0.5,0.4,1.1,9.5,439.3,168.9,22.9,1,2.6,0.1,653.4,7.1,2,640.6,3.7
22,SAURASHTRA KUTCH & DIU,1965,5.4,0,0,0.3,0.2,1.4,285,112.9,13.4,0.2,2.4,0,421.2,5.4,0.5,412.7,2.6
23,KOKAN & GOA,1965,2.5,0,0,4.1,0.1,699.9,1385.3,563,135.2,7,2.1,60.3,2859.5,2.5,4.2,2783.4,69.4
24,MADHYA MAHARASHTRA,1965,5.8,0.2,0.3,10.2,12.3,82.9,380.7,200.3,54.8,10,4.6,28.5,790.6,6,22.8,718.7,43.1
25,MARATWADA ,1965,5.4,1.5,0,9.5,0.8,129.3,218.7,180,69.4,5.9,0.4,10.4,631.3,6.9,10.3,597.4,16.7
26,VIDARBHA,1965,18.7,4.9,4.9,15.5,1.6,113.6,262,181,139.6,1.3,0,0.5,743.6,23.6,22,696.2,1.8
27,CHATTISGARH,1965,5.5,4,21.4,20,8.4,116.1,319.9,201.8,242.3,7.9,0,2.4,949.7,9.5,49.8,880.1,10.3
28,COSTAL ANDHRA PRADESH,1965,2.7,1.6,6.2,37.2,28,50.9,145.3,150.5,162.6,64.5,43.7,41.5,734.7,4.3,71.4,509.3,149.7
29,TELENGANA,1965,2.9,0.5,3.1,9.9,8.9,112.5,313.3,148,167.6,2,0,1.3,770,3.4,21.9,741.4,3.3
30,RAYALSEEMA,1965,0.3,0.4,3.9,31.5,13.6,55.8,70.3,157.9,110.7,7.7,37.6,41.3,531,0.7,49,394.7,86.6
31,TAMIL NADU & PONDICHERRY,1965,1.8,7.2,10.1,63.8,40.9,33.5,55.4,174.9,92.7,123.9,120.3,202.3,926.8,9,114.8,356.5,446.5
32,COASTAL KARNATAKA,1965,2.5,0,0,9.7,39.7,797.8,1002.5,577.2,196.8,25.1,20.1,159.8,2831.2,2.5,49.4,2574.3,205
33,NORTH INTERIOR KARNATAKA,1965,1.3,0,0.5,14,17.2,110.4,185.9,120,150.1,3.8,2.8,26.8,632.8,1.3,31.7,566.4,33.4
34,SOUTH INTERIOR KARNATAKA,1965,1,0.2,4.7,24.4,42.2,129.8,245.1,140.3,81.5,17.6,26,21.9,734.7,1.2,71.3,596.7,65.5
35,KERALA,1965,9.1,0.9,28.3,109.8,214.5,597.7,465.1,296.1,150.1,183.7,131.7,155.5,2342.5,10,352.6,1509,470.9
36,LAKSHADWEEP ,1965,0.2,7.3,8.3,35,162.5,200.6,164.2,267.7,92.4,69.2,77.9,320.6,1405.9,7.5,205.8,724.9,467.7
1,ANDAMAN & NICOBAR ISLANDS,1966,79.8,4.2,12,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,84,427.6,1372,817.6
2,ARUNACHAL PRADESH,1966,22.4,91.5,98.4,180.2,177.9,473.2,432.7,411.6,197.6,78.9,39,6.3,2209.7,113.9,456.5,1515.1,124.2
3,ASSAM & MEGHALAYA,1966,20,21.5,33.8,161.3,341.1,907.2,550.7,609.7,250.8,133.2,34.9,10.9,3075.1,41.5,536.2,2318.4,179
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1966,15,2.7,39.8,85.3,190.3,666.8,399.3,405,361.5,207,40.9,65.1,2478.7,17.7,315.4,1832.6,313
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1966,29.5,7.6,3,51.5,231.7,287.5,741.5,682.8,357.3,100.9,18.3,3.8,2515.4,37.1,286.2,2069.1,123
6,GANGETIC WEST BENGAL,1966,33.1,4.4,5.1,18.3,43.4,296,168.7,236.6,187.2,84.9,34.7,6.3,1118.7,37.5,66.8,888.5,125.9
7,ORISSA,1966,49.9,3.6,0.9,28,37.9,306.3,340.2,211,155.9,78.9,63.4,10.9,1286.9,53.5,66.8,1013.4,153.2
8,JHARKHAND,1966,24.6,3.8,0.2,10.5,22,233.4,174.3,263.8,87.9,35.9,15.9,8.2,880.5,28.4,32.7,759.4,60
9,BIHAR ,1966,21.2,6.9,0.1,0.9,39.5,114.5,155.5,308.3,83.1,18.3,17.1,1.6,767,28.1,40.5,661.4,37
10,EAST UTTAR PRADESH,1966,13.5,8.8,0.2,0,8.4,185.7,149.3,274.3,23.1,15,18.3,11.1,707.7,22.3,8.6,632.4,44.4
11,WEST UTTAR PRADESH,1966,6,13,0.8,0.2,20.7,143.4,146.8,355.9,49.2,9.3,7.7,2.8,755.8,19,21.7,695.3,19.8
12,UTTARANCHAL,1966,3.2,86.6,48.9,17.8,76.7,269.8,359.9,409.1,125.7,34.9,15.2,13.3,1461.1,89.8,143.4,1164.5,63.4
13,"HARYANA, DELHI & CHANDIGARH",1966,3.3,34,6.7,1.7,45.3,128.9,98.2,312.8,69.1,6.7,1,0.2,707.9,37.3,53.7,609,7.9
14,PUNJAB ,1966,0.2,38.9,18.5,3.6,37.6,85.1,109.8,200,132.6,9.5,0,2.3,638.1,39.1,59.7,527.5,11.8
15,HIMACHAL PRADESH,1966,0.3,145,78.4,77.2,95.7,187.1,250.5,298,153.3,30.8,13.9,40.8,1371,145.3,251.3,888.9,85.5
16,JAMMU & KASHMIR,1966,1.5,219.2,157.3,129.5,106.1,45.4,176.4,129.6,169,65.6,2.2,17.5,1219.3,220.7,392.9,520.4,85.3
17,WEST RAJASTHAN ,1966,0.1,11.4,1.5,0.1,11.7,34.9,51.3,91.5,48.3,1.8,0.3,0,252.9,11.5,13.3,226,2.1
18,EAST  RAJASTHAN ,1966,0.1,2.7,0,0,12.9,75.7,141.4,155.9,81.6,0.6,3,0.2,474.1,2.8,12.9,454.6,3.8
19,WEST MADHYA PRADESH,1966,4,0.9,2.2,0.1,2.8,69.2,267.7,200.6,104,0.6,23.8,4.1,680,4.9,5.1,641.5,28.5
20,EAST MADHYA PRADESH,1966,13.2,3.8,1.9,0.7,7.6,210.7,253.4,262,51,2.2,34,8.8,849.3,17,10.2,777.1,45
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1966,0.3,0,0.1,0,0.7,124.2,314.5,71.3,180.5,0.8,0.3,0.1,692.8,0.3,0.8,690.5,1.2
22,SAURASHTRA KUTCH & DIU,1966,0.2,0,0,0,0.2,77,168.6,6.8,77.8,0.7,0.1,0,331.4,0.2,0.2,330.2,0.8
23,KOKAN & GOA,1966,0,0,0,0.2,63.8,385.9,1144.2,268,444.1,48.6,111.3,1.1,2467.2,0,64,2242.2,161
24,MADHYA MAHARASHTRA,1966,1.9,0.5,1.4,2.1,81.5,83.8,315,94,149,14.5,82.6,11.2,837.5,2.4,85,641.8,108.3
25,MARATWADA ,1966,18.9,0,10.4,10.5,45.8,63.1,228.6,85.9,191.6,13,65.9,13.5,747.2,18.9,66.7,569.2,92.4
26,VIDARBHA,1966,16.1,1.1,10.5,7.9,30.7,84.8,387.5,206.5,191.4,4.6,34.9,26.8,1002.8,17.2,49.1,870.2,66.3
27,CHATTISGARH,1966,22.6,0,2.2,15.9,17.5,256.9,300.1,263.5,141,23.1,16,18.8,1077.6,22.6,35.6,961.5,57.9
28,COSTAL ANDHRA PRADESH,1966,36.3,0.6,2.1,6.7,33.1,76,224.7,140.5,142.7,92.9,254.3,24.5,1034.4,36.9,41.9,583.9,371.7
29,TELENGANA,1966,25.6,0,2.3,7.6,2.6,57.4,279.9,181.2,214.7,36.7,29.6,22.9,860.5,25.6,12.5,733.2,89.2
30,RAYALSEEMA,1966,10,0.1,0,11.4,39.8,88.4,93.1,114.4,139.5,83.2,182,24.4,786.3,10.1,51.2,435.4,289.6
31,TAMIL NADU & PONDICHERRY,1966,16,1.6,11.9,33.4,51.8,51.6,76.4,143.4,166.1,290.6,224.3,99.8,1166.9,17.6,97.1,437.5,614.7
32,COASTAL KARNATAKA,1966,3.7,0,0.8,11.8,196,577.9,1122.4,278.3,299.6,191.9,231.5,62.8,2976.7,3.7,208.6,2278.2,486.2
33,NORTH INTERIOR KARNATAKA,1966,13.4,0.3,5.5,10.6,82.9,68.9,145.5,80.7,160.6,54.8,92,8.4,723.6,13.7,99,455.7,155.2
34,SOUTH INTERIOR KARNATAKA,1966,4.5,0.9,2.5,25.1,91.3,81.8,255.8,91.2,189.3,132.5,124.4,13.9,1013.2,5.4,118.9,618.1,270.8
35,KERALA,1966,3,6.9,67.7,167.4,95.2,496.2,601.9,202.1,293.2,392.3,245.4,50.5,2621.8,9.9,330.3,1593.4,688.2
36,LAKSHADWEEP ,1966,21.3,0.2,6.2,4.4,34.9,376.7,421.9,158.9,225.4,266.1,158,67.5,1741.5,21.5,45.5,1182.9,491.6
1,ANDAMAN & NICOBAR ISLANDS,1967,164.6,21.6,30,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97,3216.6,186.2,609.8,1796.4,624.2
2,ARUNACHAL PRADESH,1967,13.3,45.5,147.9,96.6,164,253.1,434.5,220.8,212.8,58.5,10,11.5,1668.5,58.8,408.5,1121.2,80
3,ASSAM & MEGHALAYA,1967,11,33.2,112.2,117.1,296.8,420.6,559.2,276.4,323,95,15.9,3.8,2264.2,44.2,526.1,1579.2,114.7
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1967,51.5,33.6,129.5,195.8,247.8,311.7,388,334,341.3,184.8,10.9,1.1,2230,85.1,573.1,1375,196.8
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1967,2.3,0.1,98.8,85.3,213.7,727.5,901.6,274.1,409.4,128.7,7.9,11.1,2860.5,2.4,397.8,2312.6,147.7
6,GANGETIC WEST BENGAL,1967,52.5,3.3,44.9,65.3,53,131.6,247.8,368.8,326.2,52.3,1.3,1.4,1348.4,55.8,163.2,1074.4,55
7,ORISSA,1967,70.9,0.4,87.7,40.9,25.7,233.3,315.3,340.7,281.8,18.3,1.8,10.7,1427.5,71.3,154.3,1171.1,30.8
8,JHARKHAND,1967,8.6,1,39.9,24.2,43.7,71.9,283.5,451,268.8,19.7,1.1,12.4,1225.8,9.6,107.8,1075.2,33.2
9,BIHAR ,1967,0.2,0.1,38.6,30.6,23.6,80.7,278.2,282.1,253.8,10.3,0.1,1.5,999.8,0.3,92.8,894.8,11.9
10,EAST UTTAR PRADESH,1967,2.1,0.1,30.5,9.2,8.1,81,264.7,443.3,155.9,2.7,0.7,31,1029.3,2.2,47.8,944.9,34.4
11,WEST UTTAR PRADESH,1967,0.5,0.1,34.3,1.3,3.8,51.7,264.3,511,223.2,4.5,2.1,61.7,1158.5,0.6,39.4,1050.2,68.3
12,UTTARANCHAL,1967,11,35,112.6,25.9,23.2,122,430,518.2,145.7,21.7,22.4,79.6,1547.3,46,161.7,1215.9,123.7
13,"HARYANA, DELHI & CHANDIGARH",1967,0,2.4,43.4,0.9,13,33.1,224.3,336,96.3,7.8,13.8,68.9,839.9,2.4,57.3,689.7,90.5
14,PUNJAB ,1967,0.2,13.1,84.8,1.8,1.1,14.7,211.6,197.8,61.5,14.2,1.9,77.6,680.3,13.3,87.7,485.6,93.7
15,HIMACHAL PRADESH,1967,30.8,99.1,181.5,31.4,48.1,99.3,386.3,403.3,105.7,36.9,23.8,112.4,1558.6,129.9,261,994.6,173.1
16,JAMMU & KASHMIR,1967,16.6,127.4,174,92.5,57.8,56,156.1,173.5,115.2,49.3,16.9,165.2,1200.5,144,324.3,500.8,231.4
17,WEST RAJASTHAN ,1967,0,0,59,2.1,2,25.2,63.1,96,64.2,3.3,3.7,21.7,340.3,0,63.1,248.5,28.7
18,EAST  RAJASTHAN ,1967,0,0,55.6,1.4,2.7,86.5,158.9,255.5,158.9,1.1,1.4,38.2,760.2,0,59.7,659.8,40.7
19,WEST MADHYA PRADESH,1967,0,0,31.9,2.5,0.9,125.9,223.5,253.8,222.2,2.3,0.1,82.5,945.6,0,35.3,825.4,84.9
20,EAST MADHYA PRADESH,1967,0.2,0,53.3,1.1,2.1,118.5,396.5,481.2,262,5.8,1.1,86,1407.8,0.2,56.5,1258.2,92.9
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1967,0,0,41.5,0.4,0.2,131.1,410.8,207.1,120.9,0.9,0,21.3,934.2,0,42.1,869.9,22.2
22,SAURASHTRA KUTCH & DIU,1967,0,0,45.2,0.6,0.3,112.9,473.4,61.8,31.4,0.1,0,25.5,751.2,0,46.1,679.5,25.6
23,KOKAN & GOA,1967,0,0,2.3,0.8,7.5,718.9,1132.5,466.1,353.5,85.8,0.5,14,2781.9,0,10.6,2671,100.3
24,MADHYA MAHARASHTRA,1967,0,0.1,4.7,13.3,7.8,130.4,367.4,139,146.7,43.1,2.1,58.6,913.2,0.1,25.8,783.5,103.8
25,MARATWADA ,1967,0,0,4,1,5.9,146,224,104.1,136,26.4,0,112.4,759.8,0,10.9,610.1,138.8
26,VIDARBHA,1967,0.5,0,50,7.4,1.6,184.6,406.8,244.8,101.6,8,1.1,121.8,1128.2,0.5,59,937.8,130.9
27,CHATTISGARH,1967,1.4,0,87.5,14.1,10.4,183.8,391.4,517.9,177.6,8,5.6,53.7,1451.4,1.4,112,1270.7,67.3
28,COSTAL ANDHRA PRADESH,1967,17.7,0,65.6,12.9,13.3,104.2,192.5,100.6,122.6,42.9,28.3,90.4,791,17.7,91.8,519.9,161.6
29,TELENGANA,1967,1.4,0,53.1,13.8,5.5,142.4,298.4,170.8,147.3,9.3,0.5,35.1,877.6,1.4,72.4,758.9,44.9
30,RAYALSEEMA,1967,9.7,0,23.2,8.1,48.4,57.8,128.1,42.2,133.9,103.1,29,62.4,645.9,9.7,79.7,362,194.5
31,TAMIL NADU & PONDICHERRY,1967,28.9,1,40.4,19.3,47.6,69.1,69.4,81.2,76.2,182.3,127.1,156.7,899.2,29.9,107.3,295.9,466.1
32,COASTAL KARNATAKA,1967,2,0,0.1,18.5,86.7,658.7,1368.5,673.4,237.1,124.8,7.4,4.5,3181.7,2,105.3,2937.7,136.7
33,NORTH INTERIOR KARNATAKA,1967,1.2,0,11.8,34.6,32.5,74.1,187.1,72.5,141.9,80,1.7,8.4,645.8,1.2,78.9,475.6,90.1
34,SOUTH INTERIOR KARNATAKA,1967,5.8,0,4.6,25.7,77.7,136.5,350,157.3,57.6,95.7,12.1,16.1,939.1,5.8,108,701.4,123.9
35,KERALA,1967,14.3,0.1,24.6,70.1,244.9,541.7,741.4,508.4,145.8,172.7,74,31.1,2569.1,14.4,339.6,1937.3,277.8
36,LAKSHADWEEP ,1967,7.8,2.7,0,0,148.3,301.2,380.1,196.9,100.4,92.3,24.5,33.1,1287.3,10.5,148.3,978.6,149.9
1,ANDAMAN & NICOBAR ISLANDS,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242,496.8,281.6,152,119.2,2762.8,23.4,383.3,1803.3,552.8
2,ARUNACHAL PRADESH,1968,54.2,41.4,135.9,117.6,307.2,523.9,404.8,227.5,243.5,75.8,12.5,8.4,2152.7,95.6,560.7,1399.7,96.7
3,ASSAM & MEGHALAYA,1968,21.4,17.8,75.8,174,430.2,682.4,556.1,374,243.8,122.1,22.5,2.2,2722.3,39.2,680,1856.3,146.8
4,"NAGALAND, MANIPUR, MIZORAM,TRIPURA",1968,17.3,20.9,80.9,142.2,253.8,396.1,531.9,391,178.3,68.9,28.7,0,2110,38.2,476.9,1497.3,97.6
5,SUB-HIMALAYAN W BENGAL & SIKKIM,1968,26.3,4.7,34.3,90.8,237.3,646.7,827.6,594.2,514.8,314.3,87.3,0.5,3378.8,31,362.4,2583.3,402.1
6,GANGETIC WEST BENGAL,1968,5.7,7.6,7.7,12.6,35.5,368.8,418.2,472.2,115.2,115.9,37.8,0.6,1597.8,13.3,55.8,1374.4,154.3
7,ORISSA,1968,33.4,29.7,20.7,26.5,45.7,186.7,311.6,335.4,236.6,191.6,45.5,0.7,1464.1,63.1,92.9,1070.3,237.8
8,JHARKHAND,1968,34.5,9.4,5.5,4.7,22,273.2,351.6,420.5,97.3,71.3,0.5,3.7,1294.2,43.9,32.2,1142.6,75.5
9,BIHAR ,1968,29.1,1.7,7,3,17.3,261.8,329.6,293.1,79.2,113.3,0,4.9,1140,30.8,27.3,963.7,118.2
10,EAST UTTAR PRADESH,1968,28.8,5.5,4.5,2.6,1.7,95.1,311.3,251.1,104.1,32.9,0,2.3,839.9,34.3,8.8,761.6,35.2
11,WEST UTTAR PRADESH,1968,21.8,8.4,10,0.3,0.1,46.3,319.6,204,64.2,15.6,0,1.5,691.8,30.2,10.4,634.1,17.1
12,UTTARANCHAL,1968,173.1,122.6,62.9,49,15,218.6,393.6,280.6,121.6,13,1.4,38.9,1490.3,295.7,126.9,1014.4,53.3
13,"HARYANA, DELHI & CHANDIGARH",1968,13.6,15.5,17.1,0,2.1,30.2,217.5,93,0.1,6.8,0,2,397.9,29.1,19.2,340.8,8.8
14,PUNJAB ,1968,24.7,30.5,32.7,2.1,1.6,42.6,239.4,142.1,0.5,11.7,0.5,7.8,536.2,55.2,36.4,424.6,20
15,HIMACHAL PRADESH,1968,188.5,114.1,80.8,50.9,44.9,99.3,277.2,181.1,16.3,47.2,9.1,58.8,1168.2,302.6,176.6,573.9,115.1
16,JAMMU & KASHMIR,1968,144,80.6,94,67.9,58.1,47.7,252.5,175.7,19.3,64.8,31.7,67.7,1104,224.6,220,495.2,164.2
17,WEST RAJASTHAN ,1968,2.9,6.2,2.9,0,7,0.4,96.8,24.5,0.6,0.7,0,0,142,9.1,9.9,122.3,0.7
18,EAST  RAJASTHAN ,1968,8.8,1.6,6.5,0.2,4.3,5.3,295.7,177.6,10.6,5,0,0.2,515.8,10.4,11,489.2,5.2
19,WEST MADHYA PRADESH,1968,9.2,2,9.7,1.2,0.2,34.4,404.1,291.9,94.1,14.1,0,0.4,861.3,11.2,11.1,824.5,14.5
20,EAST MADHYA PRADESH,1968,35.7,12.1,8.8,3.5,1.2,101.9,355.8,281.3,151.5,20.4,0,1.5,973.7,47.8,13.5,890.5,21.9
21,"GUJARAT REGION, DADRA & NAGAR HAVELI",1968,0.1,0.3,1.4,0,0.2,32.4,287.4,300.2,46.7,10,0,0,678.7,0.4,1.6,666.7,10
22,SAURASHTRA KUTCH & DIU,1968,1,0.9,1,0,0.6,12.2,113.5,172.4,25.2,5.6,0.6,0,333,1.9,1.6,323.3,6.2
23,KOKAN & GOA,1968,0,0.3,0.1,6,1.5,559.8,1114.2,369.9,209.8,126.8,8.8,0,2397.2,0.3,7.6,2253.7,135.6
24,MADHYA MAHARASHTRA,1968,1.6,3.6,9.4,11.2,2.5,95.4,238.9,213.3,172.1,60.6,15.1,0.3,824,5.2,23.1,719.7,76
25,MARATWADA ,1968,5.8,23.8,32.2,11.3,0.7,94.2,219,63.6,210.6,24.5,26.3,0.3,712.3,29.6,44.2,587.4,51.1
26,VIDARBHA,1968,14.6,23.9,36.6,15.4,0.7,104.8,291.4,210.5,193,23,4.7,4.3,922.9,38.5,52.7,799.7,32
27,CHATTISGARH,1968,25.9,23.7,16.5,21,7.7,162.8,346.5,280.5,212.4,69.4,1.6,3.6,1171.6,49.6,45.2,1002.2,74.6
28,COSTAL ANDHRA PRADESH,1968,6.9,7.8,9.6,34.4,19.8,58.8,136,34.8,147.1,159.1,98.3,22.7,735.3,14.7,63.8,376.7,280.1
29,TELENGANA,1968,12.8,15.5,20.8,19.6,9.8,79.4,188.6,40.3,223.5,85,15.5,0.7,711.5,28.3,50.2,531.8,101.2
